"year","violent","murder","robbery","prisoners","afam","cauc","male","population","income","density","state","law"
1989,2956,53,911,1489,24.63831,26.23444,16.53651,1094584,16493.62,0.1703633,"Hawaii","no"
1990,3126,45,1017,1580,24.85353,26.38754,16.16793,1112703,17061.94,0.1732373,"Hawaii","no"
1991,2736,45,983,1697,24.66962,26.44024,15.76782,1131412,16926.31,0.1761501,"Hawaii","no"
1992,2971,41,1141,1759,24.46166,26.49997,15.44691,1149926,17201.17,0.1790325,"Hawaii","no"
1993,3034,44,1203,1905,24.25993,26.32638,15.09606,1161508,17242.91,0.1808357,"Hawaii","no"
1994,3078,49,1216,2324,24.07439,26.25737,14.79892,1173903,17025.12,0.1827655,"Hawaii","no"
1995,3490,55,1544,2385,23.95598,26.10543,14.50059,1180490,16731.94,0.1837911,"Hawaii","no"
1996,3324,40,1606,2570,23.9511,26.01487,14.22114,1184434,16294.73,0.1844051,"Hawaii","no"
1997,3305,48,1406,2961,24.03664,26.00187,13.96745,1189322,16300.63,0.1851661,"Hawaii","no"
1998,2939,24,1223,3429,24.09624,26.04379,13.86349,1190472,16333.25,0.1853452,"Hawaii","no"
1999,2786,44,1044,3639,24.16387,26.08433,13.68127,1185497,16464.73,0.1845706,"Hawaii","no"
1977,2093,49,350,724,0.7693518,70.72501,18.70859,883471,10702.44,0.0106858,"Idaho","no"
1978,2153,49,364,792,0.7953302,70.47297,18.4472,910691,11183.43,0.011015,"Idaho","no"
1979,2692,50,404,849,0.8045025,70.13862,18.18274,932626,10830.57,0.0112804,"Idaho","no"
1980,2971,29,444,872,0.8417872,69.79239,17.95602,947983,10560.61,0.011503,"Idaho","no"
1981,2726,43,363,837,0.8455596,69.53201,17.68889,962203,10307.88,0.0116755,"Idaho","no"
1982,2524,24,295,964,0.8571174,69.1673,17.32402,973729,9928.871,0.0118154,"Idaho","no"
1983,2344,34,268,1051,0.8737516,68.87727,17.02201,981858,10315,0.011914,"Idaho","no"
1984,2331,34,242,1199,0.894089,68.74544,16.71792,990841,10615.17,0.012023,"Idaho","no"
1985,2334,22,266,1262,0.9220901,68.65839,16.44944,994046,10785.12,0.0120619,"Idaho","no"
1986,2203,32,211,1317,0.9490763,68.49204,16.20034,990226,10878.91,0.0120156,"Idaho","no"
1987,2110,31,238,1418,0.9795899,68.47251,15.99648,985004,11059.85,0.0119522,"Idaho","no"
1988,2313,35,199,1419,1.013626,68.5293,15.8046,985669,11407.42,0.0119603,"Idaho","no"
1989,2532,26,149,1561,1.052668,68.68022,15.70031,994426,11886.81,0.0120665,"Idaho","no"
1990,2790,27,152,1821,1.085008,70.69105,15.65983,1011882,12089.89,0.012228,"Idaho","no"
1991,3016,19,215,1974,1.103555,71.35117,15.60041,1038915,11838.54,0.0125547,"Idaho","yes"
1992,3001,37,229,2186,1.128468,71.66949,15.64618,1066490,12237.56,0.0128879,"Idaho","yes"
1993,3103,32,186,2302,1.165088,72.03497,15.71289,1101204,12579.76,0.0133074,"Idaho","yes"
1994,3245,40,209,2657,1.162437,72.30266,15.73883,1135459,12664.51,0.0137214,"Idaho","yes"
1995,3751,48,280,2854,1.186352,72.63202,15.78395,1165000,12838.02,0.0140784,"Idaho","yes"
1996,3174,43,241,3361,1.186826,72.77551,15.82892,1187706,12924.16,0.0143528,"Idaho","yes"
1997,3109,39,237,3862,1.210849,72.91081,15.86725,1210638,12939.78,0.0146299,"Idaho","yes"
1998,3474,36,265,3976,1.241914,72.94096,15.84445,1230923,13394.34,0.014875,"Idaho","yes"
1999,3065,25,223,4131,1.250619,73.22482,15.79188,1251700,13676.86,0.0151261,"Idaho","yes"
1977,71802,1127,31916,9906,5.314545,62.96043,18.08612,11386320,13784.94,0.2042462,"Illinois","no"
1978,77229,1130,33427,10842,5.416671,62.7687,17.97922,11412560,14175.26,0.204717,"Illinois","no"
1979,84781,1219,36595,10941,5.51595,62.54858,17.90405,11396840,14053.4,0.2044349,"Illinois","no"
1980,92392,1212,41965,10863,5.659422,62.0413,17.79839,11434700,13392.09,0.2054938,"Illinois","no"
1981,90689,1202,42707,10757,5.717615,61.88957,17.69374,11443460,13426,0.2056512,"Illinois","no"
1982,88451,1005,39616,12908,5.786729,61.5728,17.50049,11423410,13179.67,0.2052909,"Illinois","no"
1983,83068,1107,36383,13576,5.830409,61.23556,17.25182,11408820,13289,0.2050287,"Illinois","no"
1984,82727,1027,34670,15406,5.887696,60.88976,17.00621,11412140,14080.04,0.2050883,"Illinois","no"
1985,81486,912,32729,16986,5.935356,60.61123,16.73879,11399800,14360.41,0.2048666,"Illinois","no"
1986,92112,1013,37043,18333,5.984066,60.26858,16.44861,11387260,14802.16,0.2046412,"Illinois","no"
1987,90697,945,35802,19137,6.044029,60.00742,16.14987,11391180,15162.45,0.2047116,"Illinois","no"
1988,92306,980,35617,19477,6.104655,59.83682,15.87374,11390180,15544.16,0.2046936,"Illinois","no"
1989,96515,1027,38303,20652,6.170642,59.59296,15.61103,11409790,15766.1,0.205046,"Illinois","no"
1990,110738,1179,45101,24153,6.253667,61.30873,15.35439,11446980,15816.07,0.2059068,"Illinois","no"
1991,119882,1304,52616,26994,6.289829,61.05313,15.07635,11535970,15584.92,0.2075077,"Illinois","no"
1992,113711,1326,47995,28739,6.34584,60.84206,14.82899,11635200,16162.44,0.2092925,"Illinois","no"
1993,112534,1337,44699,31777,6.404929,60.66113,14.5957,11725980,16112.96,0.2109255,"Illinois","no"
1994,113434,1381,43985,34707,6.450367,60.46421,14.39548,11804990,16423.68,0.2123466,"Illinois","no"
1995,118386,1224,39315,36843,6.498252,60.30975,14.2654,11884940,16770.52,0.2137847,"Illinois","no"
1996,106430,1195,33397,37891,6.53061,60.21309,14.18194,11953000,17148.17,0.2150091,"Illinois","no"
1997,103467,1105,33440,39278,6.582279,60.15479,14.11023,12011510,17609.08,0.2160615,"Illinois","no"
1998,97488,1014,29993,41279,6.644557,60.22058,14.08345,12069770,18333.67,0.2171096,"Illinois","no"
1999,88840,934,26610,43298,6.703696,60.3039,14.05192,12128370,18620.52,0.2181636,"Illinois","no"
1977,16852,401,6684,4286,2.6976,67.79831,18.27271,5425637,11835.16,0.1503071,"Indiana","yes"
1978,17696,339,6641,4376,2.725104,67.7674,18.11898,5470213,12233.17,0.151542,"Indiana","yes"
1979,18594,457,7300,4511,2.755229,67.68886,17.97917,5501176,12092.81,0.1523998,"Indiana","yes"
1980,20744,489,7764,5381,2.823509,67.90417,17.9503,5490721,11423.84,0.1528087,"Indiana","yes"
1981,18721,389,7070,6248,2.854706,67.83166,17.82692,5480425,11349.08,0.1525221,"Indiana","yes"
1982,16437,355,5960,7546,2.872222,67.70847,17.6267,5467927,11040.34,0.1521743,"Indiana","yes"
1983,15468,283,5445,8285,2.885897,67.52014,17.3782,5450402,11203,0.1516866,"Indiana","yes"
1984,16659,300,5398,8952,2.905413,67.398,17.10892,5458328,11934.76,0.1519072,"Indiana","yes"
1985,16891,317,5028,9008,2.925127,67.2464,16.84403,5459216,12170.42,0.1519319,"Indiana","yes"
1986,16782,327,4909,9545,2.938516,67.04064,16.54667,5454114,12563.29,0.1517899,"Indiana","yes"
1987,17979,306,4849,9906,2.961735,66.8979,16.23834,5473009,12860.33,0.1523157,"Indiana","yes"
1988,20869,351,4888,10544,2.994701,66.76343,15.94941,5491734,13148.67,0.1528369,"Indiana","yes"
1989,22454,348,5601,11158,3.025771,66.50909,15.64921,5523684,13466.31,0.153726,"Indiana","yes"
1990,26326,344,5627,12055,3.074402,68.73007,15.39386,5555097,13430.25,0.1548675,"Indiana","yes"
1991,28307,420,6498,12493,3.103143,68.65849,15.18651,5602062,13198.2,0.1561768,"Indiana","yes"
1992,28723,463,6903,12766,3.153816,68.592,14.99706,5648649,13680.99,0.1574756,"Indiana","yes"
1993,27888,428,6831,13799,3.194074,68.5289,14.83638,5701965,13857.17,0.158962,"Indiana","yes"
1994,30170,454,7481,14364,3.237767,68.3758,14.6568,5745626,14214.82,0.1601792,"Indiana","yes"
1995,30390,463,7831,14943,3.273013,68.29259,14.53459,5791819,14286.63,0.1614669,"Indiana","yes"
1996,31333,420,7241,16046,3.305725,68.28423,14.45186,5834908,14462.12,0.1626682,"Indiana","yes"
1997,30219,429,7775,16795,3.355477,68.14533,14.38239,5872370,14747.51,0.1637126,"Indiana","yes"
1998,25462,455,6569,17782,3.392214,68.09436,14.30045,5907617,15360.54,0.1646952,"Indiana","yes"
1999,22262,392,6496,19077,3.437446,68.08481,14.19487,5942901,15641.89,0.1656789,"Indiana","yes"
1977,4196,67,1200,1923,0.685653,70.63897,18.09675,2913573,11973.25,0.052083,"Iowa","no"
1978,4710,76,1369,2043,0.7171861,70.57121,17.97955,2918071,12893.26,0.0521634,"Iowa","no"
1979,5283,64,1464,2041,0.7449912,70.48128,17.87537,2915739,12504.41,0.0521217,"Iowa","no"
1980,5840,64,1600,2098,0.7836602,70.29703,17.76132,2914018,11692.24,0.0520686,"Iowa","no"
1981,5938,76,1559,2501,0.8174417,70.04603,17.54038,2907975,12020.93,0.0519606,"Iowa","no"
1982,4988,66,1046,2542,0.8431925,69.69798,17.23204,2888190,11586.26,0.0516071,"Iowa","no"
1983,5199,66,1177,2670,0.8671857,69.30383,16.88523,2870550,11485,0.0512919,"Iowa","no"
1984,5680,57,1095,2630,0.8918277,68.98267,16.52477,2858624,12273.28,0.0510788,"Iowa","no"
1985,5990,54,1166,2745,0.9249439,68.6693,16.1795,2829685,12403.77,0.0505617,"Iowa","no"
1986,6564,50,1173,2736,0.9559214,68.29514,15.8061,2791966,12744.18,0.0498877,"Iowa","no"
1987,6397,58,1002,2712,0.9885779,68.13417,15.44967,2767005,13066.42,0.0494417,"Iowa","no"
1988,7109,47,1105,2796,1.023085,68.14285,15.16346,2768392,12895.23,0.0494665,"Iowa","no"
1989,7378,53,1081,2965,1.061725,67.98687,14.87516,2770585,13299.29,0.0495057,"Iowa","no"
1990,8331,53,1090,3503,1.099156,70.36103,14.6755,2779769,13243.56,0.0497498,"Iowa","no"
1991,8466,56,1256,3880,1.145482,70.44009,14.57194,2791227,13054.93,0.0499548,"Iowa","no"
1992,7803,45,1112,4042,1.194725,70.6496,14.48829,2806923,13446.69,0.0502358,"Iowa","no"
1993,9181,65,1520,4513,1.239237,70.71407,14.4337,2820525,13042.08,0.0504792,"Iowa","no"
1994,8916,48,1327,4923,1.284927,70.80584,14.36569,2829422,13774.66,0.0506384,"Iowa","no"
1995,10068,51,1506,5454,1.322205,70.96812,14.33379,2840860,13852.37,0.0508431,"Iowa","no"
1996,7762,54,1285,5896,1.351952,71.02967,14.32462,2848473,14422.76,0.0509794,"Iowa","no"
1997,8849,51,1596,6337,1.369852,71.10349,14.28554,2854396,14780.42,0.0510854,"Iowa","no"
1998,8912,54,1456,6952,1.38377,71.19295,14.23063,2861025,15185.18,0.051204,"Iowa","no"
1999,8034,43,1050,7403,1.413076,71.35867,14.14049,2869413,15307.6,0.0513541,"Iowa","no"
1977,7189,153,2337,2112,2.339736,67.85155,18.43249,2320647,12012.71,0.0283743,"Kansas","no"
1978,7432,133,2189,2266,2.389649,67.62933,18.20952,2335657,12349.3,0.0285578,"Kansas","no"
1979,8313,129,2405,2304,2.457519,67.38694,18.05302,2350908,12677.28,0.0287443,"Kansas","no"
1980,9223,163,2679,2251,2.570198,67.20489,17.9423,2369039,12135.94,0.0289691,"Kansas","no"
1981,8810,150,2616,2528,2.621958,66.98371,17.80109,2384859,12327.81,0.0291626,"Kansas","no"
1982,8066,137,2089,2785,2.654577,66.67711,17.5309,2401211,12372.65,0.0293626,"Kansas","no"
1983,7889,135,2029,3116,2.688512,66.37502,17.25579,2415537,12373,0.0295377,"Kansas","no"
1984,8101,90,1736,3685,2.716664,66.07586,16.88186,2424076,13044.32,0.0296422,"Kansas","no"
1985,8637,119,1910,4199,2.768463,65.7078,16.58557,2427412,13269.58,0.0296829,"Kansas","no"
1986,8971,107,1936,4671,2.815035,65.43351,16.23701,2432616,13547.74,0.0297466,"Kansas","no"
1987,8821,108,2008,5306,2.860774,65.15877,15.90991,2445387,13666.29,0.0299027,"Kansas","no"
1988,8991,84,2115,5736,2.915734,65.0228,15.6331,2461987,13750.7,0.0301057,"Kansas","no"
1989,9911,136,2468,5737,2.955258,64.77983,15.37131,2472847,13725.68,0.0302385,"Kansas","no"
1990,11106,99,2917,5507,3.021466,66.75621,15.15296,2480683,13854.68,0.0303177,"Kansas","no"
1991,12466,152,3453,5664,3.038503,66.77325,15.03277,2495209,13766.19,0.0304952,"Kansas","no"
1992,12903,152,3281,5835,3.129085,66.91853,14.89706,2526042,14168.05,0.030872,"Kansas","no"
1993,12646,163,3149,6063,3.143266,67.08665,14.80304,2547605,14131.39,0.0311356,"Kansas","no"
1994,11381,172,2957,5806,3.172606,67.2344,14.74646,2569118,14348.54,0.0313985,"Kansas","no"
1995,10883,160,2799,6416,3.202391,67.45663,14.70315,2586942,14315.41,0.0316163,"Kansas","no"
1996,10752,171,2502,7119,3.211065,67.61414,14.65681,2598266,14681.84,0.0317547,"Kansas","no"
1997,10706,157,2441,7875,3.231118,67.69551,14.68747,2616339,15126.32,0.0319756,"Kansas","no"
1998,10476,156,2290,8022,3.272751,67.77126,14.7296,2638667,15645.27,0.0322485,"Kansas","no"
1999,10160,159,2046,8228,3.327742,67.8686,14.74104,2654052,15969.59,0.0324365,"Kansas","no"
1977,8348,361,2898,3824,2.610464,67.92831,18.65448,3573694,10020.18,0.090131,"Kentucky","no"
1978,8057,325,2935,3827,2.616112,67.94283,18.46192,3609976,10365.95,0.0910461,"Kentucky","no"
1979,9032,346,3354,3533,2.636384,67.92229,18.32852,3641806,10482.08,0.0918488,"Kentucky","no"
1980,9772,322,3488,3847,2.674675,67.81461,18.19773,3664221,9951.279,0.0923699,"Kentucky","no"
1981,10626,308,3696,3634,2.684296,67.84683,18.02538,3670385,9984.56,0.0925253,"Kentucky","no"
1982,11603,357,3584,4199,2.693218,67.86681,17.83943,3683437,9895.847,0.0928543,"Kentucky","no"
1983,11904,362,3218,4064,2.696076,67.87104,17.59574,3694480,9859,0.0931327,"Kentucky","no"
1984,10266,244,2613,4693,2.689983,67.74832,17.30419,3695451,10608.46,0.0931571,"Kentucky","no"
1985,11288,255,2797,4729,2.704782,67.71535,17.04153,3694827,10702.71,0.0931414,"Kentucky","no"
1986,12332,247,3042,4905,2.710441,67.63098,16.72124,3687813,10903.45,0.0929646,"Kentucky","no"
1987,12442,276,3322,5230,2.718658,67.61863,16.42337,3683325,11209.81,0.0928515,"Kentucky","no"
1988,12148,228,2734,5410,2.734345,67.65378,16.13319,3680003,11425.94,0.0927677,"Kentucky","no"
1989,13124,291,2798,7024,2.746925,67.61806,15.8395,3677312,11725.41,0.0926999,"Kentucky","no"
1990,14416,266,2552,8198,2.776728,69.96033,15.59848,3692584,11798.81,0.0929373,"Kentucky","no"
1991,16270,253,3087,8952,2.785835,69.9856,15.37847,3714686,11872.17,0.0934936,"Kentucky","no"
1992,20115,218,3276,9842,2.814295,69.97852,15.20441,3756358,12297.2,0.0945424,"Kentucky","no"
1993,17547,250,3428,10391,2.812286,70.01945,15.0212,3792288,12274.54,0.0954467,"Kentucky","no"
1994,16975,245,3590,10476,2.828954,69.9761,14.83783,3823215,12441.41,0.0962251,"Kentucky","no"
1995,14060,278,3998,11103,2.841607,70.02628,14.68603,3855248,12566.61,0.0970313,"Kentucky","no"
1996,12439,229,3640,12070,2.857448,70.04683,14.55364,3881051,12798.42,0.0976807,"Kentucky","no"
1997,12384,227,3544,12935,2.878564,69.90127,14.46816,3907816,13178.24,0.0983544,"Kentucky","yes"
1998,11173,181,2966,14636,2.916852,70.05663,14.34948,3934310,13660.74,0.0990212,"Kentucky","yes"
1999,11906,214,3169,15012,2.947063,70.29076,14.22267,3960825,13889.75,0.0996885,"Kentucky","yes"
1977,21068,622,5737,4817,9.91717,52.29824,19.26863,4014462,10085.94,0.0893492,"Louisiana","no"
1978,23797,643,7067,6184,9.941655,52.32671,19.18889,4068578,10621.13,0.0905537,"Louisiana","no"
1979,27983,699,9078,7613,9.950658,52.26536,19.03989,4137666,10719.44,0.0920914,"Louisiana","no"
1980,28084,663,8320,8024,10.07009,52.01642,18.88283,4223101,10679.1,0.0948564,"Louisiana","no"
1981,27340,668,8652,9038,10.18019,51.95408,18.76897,4283298,11000.55,0.0962085,"Louisiana","no"
1982,29123,696,9254,9402,10.24866,51.83288,18.54009,4352610,10895.85,0.0977653,"Louisiana","no"
1983,28170,624,8351,11032,10.2715,51.59832,18.17694,4395316,10865,0.0987246,"Louisiana","no"
1984,29835,568,8383,12761,10.31587,51.28816,17.83558,4400474,11151.25,0.0988404,"Louisiana","no"
1985,30601,480,8389,13665,10.35707,50.92176,17.48074,4408121,11224.05,0.0990122,"Louisiana","no"
1986,33413,564,9863,13573,10.37283,50.47743,17.08201,4406918,10933.45,0.0989852,"Louisiana","no"
1987,30105,482,7776,13727,10.43954,50.08353,16.73912,4344129,10757.28,0.0975748,"Louisiana","no"
1988,30768,498,8964,14839,10.52598,49.70518,16.41509,4288835,11041.15,0.0963329,"Louisiana","no"
1989,33249,634,10092,15736,10.61883,49.49004,16.10294,4252906,11239.59,0.0955258,"Louisiana","no"
1990,37905,726,11383,16708,10.77563,51.18166,15.82794,4219179,11599.93,0.0968457,"Louisiana","no"
1991,40331,717,11828,18109,10.87662,50.99825,15.7049,4240950,11751.56,0.0973454,"Louisiana","no"
1992,42051,743,11591,19731,11.0058,50.81783,15.58374,4270849,12047.28,0.0980317,"Louisiana","yes"
1993,45491,870,12152,20738,11.15636,50.63774,15.44625,4284749,12207.01,0.0983508,"Louisiana","yes"
1994,42286,853,11507,22480,11.25805,50.49049,15.3459,4306500,12619.49,0.09885,"Louisiana","yes"
1995,43600,736,11625,24064,11.38109,50.39554,15.28652,4327978,12779.81,0.099343,"Louisiana","yes"
1996,40311,759,12001,25078,11.50664,50.31187,15.22261,4338763,12861.29,0.0995906,"Louisiana","yes"
1997,37244,683,10404,26761,11.59418,50.23799,15.14679,4351390,13170.17,0.0998804,"Louisiana","yes"
1998,34008,558,8638,29318,11.67677,50.2277,15.07427,4362758,13656.46,0.1001413,"Louisiana","yes"
1999,32034,468,7590,32178,11.7578,50.20788,14.99215,4372035,13657.72,0.1003543,"Louisiana","yes"
1977,2480,26,427,629,0.3591956,72.24625,18.01832,1103577,10097.45,0.0356914,"Maine","no"
1978,2313,30,366,679,0.3714197,72.36075,17.84332,1113565,10315.53,0.0360144,"Maine","no"
1979,2273,31,357,595,0.3794884,72.46732,17.66768,1122564,10285.88,0.0363054,"Maine","no"
1980,2179,32,347,654,0.4009371,72.38139,17.53962,1126860,10165.27,0.0363562,"Maine","no"
1981,2216,36,368,691,0.4271765,72.41499,17.39059,1133021,10117.18,0.036555,"Maine","no"
1982,1853,24,347,807,0.4495533,72.28526,17.15235,1136684,10188.94,0.0366731,"Maine","yes"
1983,1827,24,310,790,0.4685661,72.15456,16.86358,1144769,10551,0.036934,"Maine","yes"
1984,1832,20,305,867,0.4877859,72.09315,16.51394,1155630,11186.74,0.0372844,"Maine","yes"
1985,1948,28,284,837,0.5115505,71.89352,16.21613,1162935,11605.56,0.0375201,"Maine","yes"
1986,1720,23,326,971,0.5308853,71.6749,15.89844,1170121,12237.87,0.0377519,"Maine","yes"
1987,1802,30,303,1256,0.550073,71.55804,15.5957,1184570,12799.81,0.0382181,"Maine","yes"
1988,1895,37,311,1276,0.5722569,71.5842,15.3005,1203830,13314.55,0.0388395,"Maine","yes"
1989,1674,39,293,1220,0.5936338,71.46689,14.98429,1219944,13559.46,0.0393594,"Maine","yes"
1990,1763,30,309,1428,0.6135811,73.81962,14.65147,1231296,13319,0.039893,"Maine","yes"
1991,1632,15,280,1458,0.6260932,73.74602,14.39132,1235439,12910.92,0.0400272,"Maine","yes"
1992,1618,21,288,1520,0.6442252,73.66696,14.11032,1235748,13028.5,0.0400372,"Maine","yes"
1993,1556,20,264,1498,0.6439703,73.72951,13.93718,1238256,12960.09,0.0401184,"Maine","yes"
1994,1608,28,277,1436,0.6440239,73.79119,13.72625,1237687,13124.83,0.0401,"Maine","yes"
1995,1626,25,333,1398,0.6617705,74.01494,13.62509,1237438,13236.96,0.040092,"Maine","yes"
1996,1551,25,292,1328,0.6695472,74.31354,13.58757,1241436,13521.06,0.0402215,"Maine","yes"
1997,1504,25,258,1345,0.6919287,74.57877,13.52939,1245215,13850.78,0.0403439,"Maine","yes"
1998,1569,25,263,1547,0.7122738,74.81993,13.49889,1247554,14376.22,0.0404197,"Maine","yes"
1999,1406,28,243,1566,0.729426,75.10503,13.45536,1253040,14700.04,0.0405974,"Maine","yes"
1977,28929,264,12179,8006,8.315102,59.80103,18.56987,4169594,13466,0.4215544,"Maryland","no"
1978,30624,273,12952,8284,8.572083,59.47229,18.43057,4183604,13846.74,0.4229708,"Maryland","no"
1979,33341,341,13881,8089,8.846709,59.09584,18.30093,4191163,13768.02,0.423735,"Maryland","no"
1980,36036,332,16602,7906,9.062828,58.11522,18.00405,4227643,13577.07,0.4297695,"Maryland","no"
1981,37807,352,18088,7799,9.294334,57.74186,17.82723,4261908,13593.69,0.4332528,"Maryland","no"
1982,36405,363,15440,9337,9.449821,57.23314,17.56576,4282917,13669.87,0.4353885,"Maryland","no"
1983,34813,297,14984,10524,9.593448,56.66724,17.30929,4313319,14228,0.4384791,"Maryland","no"
1984,34586,284,13144,12092,9.715621,56.08654,16.96554,4365238,15049.59,0.4437571,"Maryland","no"
1985,36832,279,13336,12577,9.815696,55.51143,16.58506,4413075,15705.89,0.44862,"Maryland","no"
1986,37376,334,13640,12519,9.923585,54.97762,16.2491,4486957,16331.09,0.4561306,"Maryland","no"
1987,35055,368,13254,12784,10.00187,54.49474,15.91165,4565578,16852.43,0.464123,"Maryland","no"
1988,37580,382,14034,13135,10.12178,53.95152,15.57148,4657908,17367.09,0.473509,"Maryland","no"
1989,40437,668,15699,13756,10.23037,53.39462,15.24628,4727298,17666.8,0.480563,"Maryland","no"
1990,44088,672,17453,15496,10.34606,54.47374,14.95992,4797431,17543.53,0.4907858,"Maryland","no"
1991,46435,688,19769,16899,10.4767,53.90336,14.56282,4856176,17230.4,0.4967955,"Maryland","no"
1992,49030,713,21032,17943,10.63593,53.36663,14.23175,4902545,17294.18,0.5015391,"Maryland","no"
1993,49316,748,21485,18831,10.80699,52.75498,13.93569,4942504,17296.66,0.505627,"Maryland","no"
1994,47262,698,20066,19094,10.98084,52.30801,13.65324,4985411,17502.91,0.5100165,"Maryland","no"
1995,49578,713,21255,19843,11.13262,51.92822,13.45126,5023650,17589.98,0.5139284,"Maryland","no"
1996,47092,707,19885,20431,11.35408,51.63616,13.30807,5057142,17680.94,0.5173547,"Maryland","no"
1997,43117,624,17153,20983,11.5277,51.32299,13.24866,5092914,18146.86,0.5210142,"Maryland","no"
1998,40866,633,15324,21187,11.68855,51.06369,13.2526,5130072,18843.85,0.5248156,"Maryland","no"
1999,38446,585,13638,21617,11.85378,50.83417,13.30775,5171634,19445.17,0.5290675,"Maryland","no"
1977,24405,178,9749,2640,1.724251,70.84088,17.98316,5738201,12553.58,0.7332227,"Massachusetts","no"
1978,26502,212,9884,2754,1.768283,70.9734,17.90687,5736470,12957.44,0.7330015,"Massachusetts","no"
1979,30488,212,11660,2812,1.848022,71.03321,17.85132,5738406,12995.58,0.7332489,"Massachusetts","no"
1980,34551,236,13532,2873,1.959807,70.91966,17.80774,5746075,12903.66,0.7344165,"Massachusetts","no"
1981,36262,208,15627,3230,2.084791,70.83539,17.76568,5768683,12965.68,0.7373061,"Massachusetts","no"
1982,32977,219,12339,3751,2.199134,70.54771,17.62825,5771226,13212.7,0.7376311,"Massachusetts","no"
1983,33451,203,12092,4466,2.317014,70.15474,17.44664,5799403,13859,0.7412325,"Massachusetts","no"
1984,30588,210,10198,4614,2.424114,69.82819,17.20547,5840772,14911.49,0.74652,"Massachusetts","no"
1985,31650,206,11085,4940,2.532588,69.40924,16.93458,5880743,15482.72,0.7516287,"Massachusetts","no"
1986,32872,212,11374,5194,2.635446,68.89589,16.62209,5902682,16320.18,0.7544328,"Massachusetts","no"
1987,33510,178,10523,5460,2.732558,68.4094,16.26856,5935209,17105.01,0.7585901,"Massachusetts","no"
1988,37052,209,10543,6100,2.835594,68.05308,15.93803,5979981,17963.23,0.7643125,"Massachusetts","no"
1989,40604,259,12187,6557,2.935843,67.52338,15.57111,6015479,18033.77,0.7688496,"Massachusetts","no"
1990,44315,241,13067,7343,3.025422,69.19524,15.20686,6018664,17695.93,0.7678826,"Massachusetts","no"
1991,44156,252,11673,7918,3.097413,68.4557,14.80334,5998652,17360.52,0.7653294,"Massachusetts","no"
1992,46689,216,11052,8571,3.176355,67.97533,14.44555,5993474,17661.96,0.7646688,"Massachusetts","no"
1993,48382,234,10561,9678,3.254629,67.48496,14.12593,6010884,17682.5,0.76689,"Massachusetts","no"
1994,42678,211,10145,9288,3.325291,67.2147,13.82065,6031352,18037.15,0.7695014,"Massachusetts","no"
1995,41660,218,9118,10548,3.413074,67.07729,13.5801,6062335,18345.35,0.7734544,"Massachusetts","no"
1996,39080,158,7771,10345,3.489323,66.97061,13.38832,6085393,18807.43,0.7763961,"Massachusetts","no"
1997,39396,116,6672,10886,3.591577,66.94775,13.23652,6115476,19455.93,0.7802343,"Massachusetts","no"
1998,38175,123,5935,17081,3.675831,66.97878,13.13072,6144407,20411.68,0.7839254,"Massachusetts","no"
1999,34025,124,5928,16982,3.768917,67.02943,13.03218,6175169,21245.15,0.7878501,"Massachusetts","no"
1977,53623,853,24019,12564,4.589848,64.94021,18.70428,9171110,13081.31,0.1614149,"Michigan","no"
1978,53205,977,20215,13919,4.668867,64.84695,18.57604,9217762,13498.35,0.162236,"Michigan","no"
1979,56913,843,20349,15011,4.752085,64.72587,18.46948,9266269,13309.77,0.1630897,"Michigan","no"
1980,59189,944,22584,15087,4.9121,64.53066,18.39734,9255553,12536.12,0.1625093,"Michigan","no"
1981,59114,866,23714,15011,4.957617,64.3437,18.24191,9209284,12193,0.1616969,"Michigan","no"
1982,59850,829,24711,15040,5.008369,64.04739,17.98322,9115202,11828.78,0.160045,"Michigan","no"
1983,64845,905,25813,14657,5.053564,63.67474,17.68139,9047753,12243,0.1588607,"Michigan","no"
1984,68785,878,27755,14389,5.102147,63.40595,17.34668,9049446,13019.38,0.1588904,"Michigan","no"
1985,66629,1017,26539,14613,5.158282,63.11989,17.00113,9076297,13643.68,0.1593619,"Michigan","no"
1986,73378,1031,27502,17890,5.212474,62.83232,16.63797,9127776,14155.86,0.1602658,"Michigan","no"
1987,71672,1121,25403,20856,5.270267,62.52574,16.251,9187485,14146.01,0.1613141,"Michigan","no"
1988,68370,996,22225,23875,5.31828,62.2057,15.90378,9218000,14480.72,0.1618499,"Michigan","no"
1989,65624,990,20570,27575,5.376304,61.78036,15.54663,9253290,14675.63,0.1624695,"Michigan","no"
1990,73590,968,21786,31656,5.444306,63.41766,15.24828,9310462,14494.76,0.1638906,"Michigan","no"
1991,75451,1015,22858,34386,5.481307,63.24012,14.99776,9395022,14121.46,0.1653791,"Michigan","no"
1992,72931,938,20977,36745,5.515503,63.13263,14.77741,9470323,14397.38,0.1667046,"Michigan","no"
1993,75424,934,22727,39356,5.555154,62.94234,14.59414,9529240,14737.71,0.1677417,"Michigan","no"
1994,73427,939,21939,39680,5.58915,62.84308,14.40718,9584481,15363.26,0.1687141,"Michigan","no"
1995,66441,821,18093,41248,5.636846,62.77747,14.30214,9659871,15679.65,0.1700412,"Michigan","no"
1996,61873,730,17160,41781,5.675034,62.8381,14.23101,9739184,15523.84,0.1714374,"Michigan","no"
1997,57734,763,14952,43056,5.724264,62.85872,14.17415,9785450,15878.97,0.1722518,"Michigan","no"
